address,is24qa_bezugsfrei_ab,is24qa_etage,is24qa_flaeche,is24qa_kaltmiete,is24qa_nebenkosten,is24qa_zi,lat,lng,url,zip_region_country
,ab sofort,1 von 2,47 m²,800 €,,2,,,https://www.immobilienscout24.de/expose/96094187,13597 Berlin
"Winterfeldtstraße 52,",01.03.2019,6 von 6,58 m²,1.000 €,,2,"52.49711211632189,",13.352535921469006,https://www.immobilienscout24.de/expose/108478866,"10781 Berlin, Schöneberg (Schöneberg)"
"Heinrich-Böll-Str. 17 B,",nach Vereinbarung,0 von 3,"85,76 m²","949,36 €",,3,"52.58925511629252,",13.40349506532738,https://www.immobilienscout24.de/expose/108600482,"13156 Berlin, Niederschönhausen (Pankow)"
"Tino-Schwierzina-Straße 30c,",ab sofort,0 von 2,21 m²,465 €,,1,"52.560958933978476,",13.433438201398118,https://www.immobilienscout24.de/expose/108255100,"13089 Berlin, Heinersdorf (Weißensee)"
"Lunderstr. 11,",02.12.2018,3 von 3,57 m²,765 €,,2,"52.55589817441735,",13.418617221606057,https://www.immobilienscout24.de/expose/108471892,"13189 Berlin, Pankow (Pankow)"
,15.12.2018,3 von 6,81 m²,1.450 €,,3,,,https://www.immobilienscout24.de/expose/108086569,10405 Berlin
,01.01.2019,4 von 6,109 m²,"1.427,90 €",,3,,,https://www.immobilienscout24.de/expose/108708889,10115 Berlin
"Seelenbinder 49,",ab sofort,2 von 4,"52,1 m²",550 €,,2,"52.45550544743674,",13.582247802005341,https://www.immobilienscout24.de/expose/107512957,"12555 Berlin, Köpenick (Köpenick)"
"Brunhildstraße 4,",15.12.2018,0 von 0,60 m²,800 €,,2,"52.486281260018316,",13.36296575237892,https://www.immobilienscout24.de/expose/108585116,"10829 Berlin, Schöneberg (Schöneberg)"
"Ullsteinstr. 152a,",15.2.2019,2 von 4,"55,5 m²",600 €,,2,"52.45260301857378,",13.382497190668044,https://www.immobilienscout24.de/expose/108461098,"12105 Berlin, Mariendorf (Tempelhof)"
"Pulsstraße 11,",01.12.2018,3 von 6,43 m²,800 €,,1,"52.525342595431226,",13.286618866163407,https://www.immobilienscout24.de/expose/107069073,"14059 Berlin, Charlottenburg (Charlottenburg)"
